,increase in FAR,effect of green recov,effect of reconversion rate on Policy,effect on non resi reconv of policy,Austerity effect on inflation,Housing finance effect on household spendings,effect on relocation rate,additional relocation housing factor,Housing Affordability Rating,People with No Settlements,Illegal Slum Population,Urban Non Residential Area,Green Area
0,4.2818209977625585,1.075890849895701,3.463667480162432,1.0517527416769803,1.008950390884135,4.923011350938845,4.173359391561398,4.888677489001156,9.878745079040527,12888157.0,600000.0,35.239463806152344,2.506441116333008
1,4.5455419321411865,1.4624955242032736,3.780272797711791,1.041242740477238,1.0963224763565549,4.9913677158686856,3.5277918697600716,4.910073422530629,9.661088943481445,13120285.0,600000.0,37.3649787902832,1.9064288139343262
2,4.5455419321411865,1.4624955242032736,4.506345208260336,1.041242740477238,1.0963224763565549,4.9913677158686856,3.5277918697600716,4.910073422530629,9.661088943481445,13126139.0,600000.0,37.8371467590332,1.902494192123413
3,4.157496019571911,1.0210426866685978,3.437214937998438,1.0857185660577848,1.042868069493157,4.949507811382286,1.9988420374795282,3.7941291751098607,9.633005142211914,13709039.0,600000.0,34.77593231201172,2.54801344871521
4,4.863127607327634,1.0185228406549212,3.824930948419756,1.01610148475639,1.0049950866305564,4.409055866426086,3.0171239905189267,4.566820321408649,10.943647384643555,13467466.0,600000.0,38.53541564941406,2.6007094383239746
5,2.1176185921233195,1.037586846211785,4.419225323323398,1.6722384748434234,1.042862296517381,4.964241245921423,3.582132656672974,4.884253450027833,9.632566452026367,12810284.0,600000.0,16.023113250732422,2.5181853771209717
6,4.688716780743759,1.00081762274622,4.5501284499275325,1.1927934475641893,1.0423804307617273,4.943704226873408,3.0200607030155546,4.110086559362735,9.644481658935547,13327163.0,600000.0,30.862043380737305,2.6103155612945557
7,4.5518404439793905,1.310637894605986,3.9344984628410233,1.004452290012194,1.0416995318341105,4.613166432553168,3.2882740728169324,4.832185836170669,10.253864288330078,13275557.0,600000.0,38.876922607421875,2.116978883743286
8,3.4746823235190805,1.0056601265387817,4.590496303327953,1.1119578463951303,1.002116730451497,4.619441624573886,3.648651011641722,4.871914351358817,10.512175559997559,13010628.0,600000.0,33.078670501708984,2.6156115531921387
9,4.863127607327634,1.0226325392829858,3.8032503807602445,1.0119262357261234,1.0113902526790244,4.994189539690158,3.101593417021828,4.876234828916756,9.736407279968262,13118939.0,600000.0,38.417640686035156,2.6135425567626953
10,3.9675877867513463,1.0727852988448487,4.592672979586886,1.1119578463951303,1.0626699090289142,4.984441862669385,3.648651011641722,4.222482359289981,9.643046379089355,13145872.0,600000.0,33.83437728881836,2.46817946434021
11,4.220226210802341,1.2275185818315621,3.8032503807602445,1.0119262357261234,1.0603819918869544,4.994189539690158,3.101593417021828,4.960913852140664,9.641489028930664,13153007.0,600000.0,37.372581481933594,2.2489824295043945
