,Policy High rise Program switch,increase in FAR,FAR implementation year,Accelerated city growth program switch,effect of green recov,Green reconv policy start,Policy reconversion of Slums Switch,effect of reconversion rate on Policy,Slum reconv polict start year,Austerity Policy Program Switch,effect on non resi reconv of policy,reconv policy start year,Austerity effect on inflation,Auterity implementation year,Housing Finance Policy Program Switch,Housing finance effect on household spendings,Housing Finane Policy start year,Policy Relocation program Switch,effect on relocation rate,additional relocation housing factor,Relocation policy start year,Housing Affordability Rating,People with No Settlements,Illegal Slum Population,Urban Non Residential Area,Green Area
0,0.05620186004132238,1.0857161106615898,2040.4667492637434,0.910572208944481,1.282143319576937,2047.3416589576714,0.07629816662862565,2.949903805389168,2045.9929555643416,0.8824188021166623,4.949273985361693,2036.8701831299952,2.616667716091115,2045.0770994691677,0.9499738071596211,4.345506945793716,2030.1846011398434,0.916369079336797,4.495066306298374,1.118138529305155,2043.157927374857,12.155116081237793,14221969.0,600000.0,27.89976692199707,2.4030346870422363
1,0.9609570706753667,3.6186309278154307,2035.3221278474457,0.7926715309153336,4.0162181927387195,2038.6097518427275,0.9439138573526922,3.563636426966173,2044.9768841909145,0.890060160849037,3.920209403806356,2044.741961361458,3.0674662574234217,2040.2350949231914,0.8330429349511406,4.902156426046087,2042.638186186683,0.910705415845229,4.9340462765964155,3.341582743252546,2035.0777583365652,45.852622985839844,58832336.0,600000.0,32.638450622558594,2.7621569633483887
2,0.9290960725045462,3.7204856168499125,2044.8075731726808,0.9626531850050027,4.507760150146162,2047.0496750253767,0.9537544057637753,2.00909257839311,2044.7262914487603,0.8900587891471178,4.564793905392059,2032.995513376625,1.0171957937176206,2039.8381494572538,0.9072405788030242,4.902224403075189,2033.7697284430117,0.9046147079061562,4.41402120810892,1.0259207645627,2049.004735129542,12.820714950561523,16964110.0,600000.0,29.262096405029297,1.8798201084136963
3,0.05620186004132238,1.5770480652677898,2040.5053352047053,0.9737091237933702,3.8154496296811455,2047.3276558242162,0.06713516955310517,1.6859161672315968,2045.984701529354,0.41079960045522895,3.9473479611082625,2036.4835986509588,1.0402521501922153,2045.455649957827,0.9490199876685296,4.9174607442591665,2030.120036022401,0.8048456054276866,2.4279562758613205,1.1176850525496258,2043.157927374857,10.959228515625,13994200.0,600000.0,25.724292755126953,2.020141839981079
4,0.9290960725045462,3.7204856168499125,2044.8075731726808,0.9626531850050027,4.0325465830107605,2047.0985609819002,0.9535036020882597,2.00909257839311,2044.7262914487603,0.8900587891471178,4.5251931483409455,2032.995513376625,1.0085372802884665,2039.8381494572538,0.9072405788030242,4.902224403075189,2033.8658326572402,0.9046147079061562,4.41402120810892,1.0259207645627,2047.8968155014884,12.881038665771484,17107154.0,600000.0,29.14896011352539,1.9555644989013672
5,0.0485039360282386,3.6247844912337785,2034.9762876620646,0.9345836215450828,4.288916957354301,2047.2169544130738,0.9411201762262008,3.7521008312654383,2045.0203773857306,0.8899613088973002,3.9193870726173716,2037.69834788629,1.0537593846015783,2043.8335542674874,0.9009695374361297,4.948124059184636,2030.4619864579813,0.968014400448937,2.4000117291256124,1.0604233541047086,2042.9593619952027,11.040770530700684,14186843.0,600000.0,28.795190811157227,1.9381135702133179
6,0.9509441387586726,3.615043310810434,2044.8047580015998,0.9626531850050027,4.388122576564968,2048.8602241069757,0.9411201762262008,1.6404877851255155,2044.7923498335426,0.8900347759674309,4.579634688034214,2036.4938580423159,1.0086989415802998,2043.6665151918273,0.9074541255072793,4.917133648752087,2032.2215252552712,0.9643010586356718,4.264214547741467,1.1329987752192416,2043.5412986628564,11.903369903564453,15277708.0,600000.0,28.625699996948242,2.21952223777771
7,0.929049213080164,3.6186309278154307,2035.5197185617353,0.7926715309153336,4.25461744524455,2038.9703002882143,0.947395855953391,2.999485835077685,2036.7771826371952,0.8994425151710606,4.571662768540475,2044.741961361458,2.5997827145297374,2040.7351254635937,0.835639288323496,4.171956946860516,2042.638186186683,0.9222382960234997,4.935217842187009,1.0982392016366143,2032.8106257505876,45.852622985839844,58710652.0,1499987.875,31.235889434814453,2.449592351913452
8,0.056212539212322554,1.0750584356844337,2041.1399023935348,0.28570533336261555,1.282143319576937,2047.3926734435456,0.07629816662862565,2.936272751308321,2045.9929555643416,0.8824188021166623,4.949273985361693,2036.8701831299952,2.663920574219675,2045.0770994691677,0.9499738071596211,4.184297330017605,2030.1846011398434,0.916369079336797,4.5766885804975335,1.1176905641835533,2043.157927374857,12.543173789978027,14290547.0,600000.0,27.908069610595703,2.449592351913452
9,0.9229981594821323,3.7362894644742033,2034.9762876620646,0.9345836215450828,4.252012568014218,2047.2202122798026,0.9411201762262008,3.216677001857568,2036.8189487475,0.8899613088973002,3.876568252262893,2037.69834788629,1.0984008088910235,2043.8335542674874,0.9009695374361297,4.948124059184636,2041.2584805891906,0.968014400448937,4.408223219418763,1.0604233541047086,2033.008499635305,24.644062042236328,52042424.0,2037265.5,30.950441360473633,1.9440559148788452
